id,department_id,name,status
stu_0054,dep_bio,Student 54,active
stu_0055,dep_cs,Student 55,active
stu_0056,dep_eng,Student 56,active
stu_0057,dep_eng,Student 57,active
stu_0058,dep_bio,Student 58,active
stu_0059,dep_bus,Student 59,active
stu_0060,dep_cs,Student 60,active
stu_0061,dep_cs,Student 61,active
stu_0062,dep_eng,Student 62,active
stu_0063,dep_hum,Student 63,active
stu_0064,dep_cs,Student 64,active
stu_0065,dep_bus,Student 65,active
stu_0066,dep_bio,Student 66,active
stu_0067,dep_cs,Student 67,active
stu_0068,dep_bus,Student 68,active
stu_0069,dep_bio,Student 69,active
stu_0070,dep_bio,Student 70,active
stu_0071,dep_hum,Student 71,active
stu_0072,dep_eng,Student 72,active
stu_0073,dep_bio,Student 73,active
stu_0074,dep_hum,Student 74,active
stu_0075,dep_cs,Student 75,active
stu_0076,dep_hum,Student 76,active
stu_0077,dep_cs,Student 77,active
stu_0078,dep_bio,Student 78,active
stu_0079,dep_hum,Student 79,active
stu_0080,dep_cs,Student 80,active
stu_0081,dep_hum,Student 81,active
stu_0082,dep_hum,Student 82,active
stu_0083,dep_cs,Student 83,active
stu_0084,dep_hum,Student 84,active
stu_0085,dep_bio,Student 85,active
stu_0086,dep_eng,Student 86,active
stu_0087,dep_eng,Student 87,active
stu_0088,dep_bio,Student 88,active
stu_0089,dep_bus,Student 89,active
stu_0090,dep_cs,Student 90,active
stu_0091,dep_bus,Student 91,active
stu_0092,dep_cs,Student 92,active
stu_0093,dep_bio,Student 93,active
stu_0094,dep_bio,Student 94,active
stu_0095,dep_hum,Student 95,active
stu_0096,dep_bio,Student 96,active
stu_0097,dep_hum,Student 97,active
stu_0098,dep_cs,Student 98,active
stu_0099,dep_bio,Student 99,active
stu_0100,dep_bus,Student 100,active
stu_0101,dep_bus,Student 101,active
stu_0102,dep_hum,Student 102,active
stu_0103,dep_cs,Student 103,active
stu_0104,dep_bus,Student 104,active
stu_0105,dep_bio,Student 105,active
stu_0106,dep_eng,Student 106,active
stu_0107,dep_bio,Student 107,active
stu_0108,dep_eng,Student 108,active
stu_0109,dep_bus,Student 109,active
stu_0110,dep_eng,Student 110,active
stu_0111,dep_bus,Student 111,active
stu_0112,dep_bio,Student 112,active
stu_0113,dep_cs,Student 113,active
stu_0114,dep_eng,Student 114,active
stu_0115,dep_cs,Student 115,active
stu_0116,dep_bio,Student 116,withdrawn
stu_0117,dep_cs,Student 117,active
stu_0118,dep_eng,Student 118,active
stu_0119,dep_bus,Student 119,active
stu_0120,dep_bus,Student 120,active
stu_0121,dep_eng,Student 121,active
stu_0122,dep_bio,Student 122,active
stu_0123,dep_cs,Student 123,active
stu_0124,dep_cs,Student 124,active
stu_0125,dep_cs,Student 125,active
stu_0126,dep_cs,Student 126,active
stu_0127,dep_bio,Student 127,active
stu_0128,dep_bio,Student 128,active
stu_0129,dep_hum,Student 129,active
stu_0130,dep_eng,Student 130,active
stu_0131,dep_bio,Student 131,active
stu_0132,dep_cs,Student 132,active
stu_0133,dep_eng,Student 133,active
stu_0134,dep_bio,Student 134,active
stu_0135,dep_bus,Student 135,active
stu_0136,dep_bio,Student 136,active
stu_0137,dep_bio,Student 137,active
stu_0138,dep_eng,Student 138,active
stu_0139,dep_bio,Student 139,active
stu_0140,dep_hum,Student 140,active
stu_0141,dep_bio,Student 141,active
stu_0142,dep_bus,Student 142,active
stu_0143,dep_bus,Student 143,active
stu_0144,dep_bus,Student 144,active
stu_0145,dep_bio,Student 145,active
stu_0146,dep_hum,Student 146,active
stu_0147,dep_bio,Student 147,active
stu_0148,dep_eng,Student 148,active
stu_0149,dep_eng,Student 149,active
stu_0150,dep_bus,Student 150,active
stu_0151,dep_hum,Student 151,active
stu_0152,dep_bio,Student 152,active
stu_0153,dep_eng,Student 153,active
stu_0154,dep_cs,Student 154,active
stu_0155,dep_bus,Student 155,active
stu_0156,dep_cs,Student 156,active
stu_0157,dep_bus,Student 157,active
stu_0158,dep_cs,Student 158,active
stu_0159,dep_hum,Student 159,active
stu_0160,dep_bio,Student 160,active
stu_0161,dep_hum,Student 161,active
stu_0162,dep_cs,Student 162,active
stu_0163,dep_bio,Student 163,active
stu_0164,dep_cs,Student 164,active
stu_0165,dep_hum,Student 165,active
stu_0166,dep_eng,Student 166,active
stu_0167,dep_eng,Student 167,active
stu_0168,dep_eng,Student 168,active
stu_0169,dep_eng,Student 169,active
stu_0170,dep_bio,Student 170,active
stu_0171,dep_bus,Student 171,active
stu_0172,dep_cs,Student 172,active
stu_0173,dep_bio,Student 173,active
stu_0174,dep_bus,Student 174,active
stu_0175,dep_bio,Student 175,active
stu_0176,dep_bio,Student 176,active
stu_0177,dep_bus,Student 177,active
stu_0178,dep_bio,Student 178,active
stu_0179,dep_cs,Student 179,active
stu_0180,dep_bio,Student 180,active
stu_0181,dep_cs,Student 181,active
stu_0182,dep_hum,Student 182,active
stu_0183,dep_eng,Student 183,active
stu_0184,dep_cs,Student 184,active
stu_0185,dep_cs,Student 185,active
stu_0186,dep_bio,Student 186,active
stu_0187,dep_hum,Student 187,active
stu_0188,dep_hum,Student 188,active
stu_0189,dep_bio,Student 189,active
stu_0190,dep_bio,Student 190,active
stu_0191,dep_bio,Student 191,active
stu_0192,dep_bus,Student 192,active
stu_0193,dep_hum,Student 193,active
stu_0194,dep_eng,Student 194,active
stu_0195,dep_hum,Student 195,active
stu_0196,dep_bus,Student 196,active
stu_0197,dep_bio,Student 197,active
stu_0198,dep_cs,Student 198,active
stu_0199,dep_bus,Student 199,active
stu_0200,dep_hum,Student 200,active
stu_0201,dep_bio,Student 201,active
stu_0202,dep_cs,Student 202,active
stu_0203,dep_hum,Student 203,active
stu_0204,dep_eng,Student 204,active
stu_0205,dep_cs,Student 205,active
stu_0206,dep_bus,Student 206,active
stu_0207,dep_bio,Student 207,active
stu_0208,dep_hum,Student 208,active
stu_0209,dep_eng,Student 209,active
stu_0210,dep_bio,Student 210,active
stu_0211,dep_bio,Student 211,active
stu_0212,dep_eng,Student 212,active
stu_0213,dep_bio,Student 213,active
stu_0214,dep_cs,Student 214,active
stu_0215,dep_cs,Student 215,active
stu_0216,dep_bio,Student 216,active
stu_0217,dep_eng,Student 217,active
stu_0218,dep_bio,Student 218,active
stu_0219,dep_eng,Student 219,active
stu_0220,dep_bio,Student 220,active
stu_0221,dep_eng,Student 221,active
stu_0222,dep_bus,Student 222,active
stu_0223,dep_hum,Student 223,active
stu_0224,dep_eng,Student 224,active
stu_0225,dep_cs,Student 225,active
stu_0226,dep_cs,Student 226,active
stu_0227,dep_cs,Student 227,active
stu_0228,dep_hum,Student 228,active
stu_0229,dep_bus,Student 229,active
stu_0230,dep_bus,Student 230,active
stu_0231,dep_bio,Student 231,active
stu_0232,dep_eng,Student 232,active
stu_0233,dep_hum,Student 233,active
stu_0234,dep_bio,Student 234,active
stu_0235,dep_bio,Student 235,active
stu_0236,dep_hum,Student 236,active
stu_0237,dep_cs,Student 237,active
stu_0238,dep_hum,Student 238,active
stu_0239,dep_bio,Student 239,active
stu_0240,dep_bus,Student 240,active
stu_0241,dep_bus,Student 241,active
stu_0242,dep_bus,Student 242,active
stu_0243,dep_bio,Student 243,active
stu_0244,dep_bus,Student 244,active
stu_0245,dep_bio,Student 245,active
stu_0246,dep_bio,Student 246,active
stu_0247,dep_bus,Student 247,active
stu_0248,dep_bio,Student 248,active
stu_0249,dep_bio,Student 249,active
stu_0250,dep_hum,Student 250,active
stu_0251,dep_bus,Student 251,active
stu_0252,dep_bio,Student 252,active
stu_0253,dep_eng,Student 253,active
stu_0254,dep_hum,Student 254,active
stu_0255,dep_eng,Student 255,active
stu_0256,dep_eng,Student 256,active
stu_0257,dep_cs,Student 257,active
stu_0258,dep_cs,Student 258,active
stu_0259,dep_bio,Student 259,active
stu_0260,dep_hum,Student 260,active
stu_0261,dep_bio,Student 261,active
stu_0262,dep_hum,Student 262,active
stu_0263,dep_eng,Student 263,active
stu_0264,dep_hum,Student 264,active
stu_0265,dep_eng,Student 265,active
stu_0266,dep_bio,Student 266,active
stu_0267,dep_bus,Student 267,active
stu_0268,dep_bus,Student 268,active
stu_0269,dep_hum,Student 269,active
stu_0270,dep_bio,Student 270,active
stu_0271,dep_cs,Student 271,active
stu_0272,dep_hum,Student 272,active
stu_0273,dep_bio,Student 273,active
stu_0274,dep_hum,Student 274,active
stu_0275,dep_bio,Student 275,active
stu_0276,dep_bus,Student 276,active
stu_0277,dep_hum,Student 277,active
stu_0278,dep_cs,Student 278,active
stu_0279,dep_bus,Student 279,active
stu_0280,dep_bus,Student 280,active
stu_0281,dep_bio,Student 281,active
stu_0282,dep_bio,Student 282,active
stu_0283,dep_bus,Student 283,active
stu_0284,dep_hum,Student 284,active
stu_0285,dep_hum,Student 285,active
stu_0286,dep_bus,Student 286,active
stu_0287,dep_cs,Student 287,withdrawn
stu_0288,dep_eng,Student 288,active
stu_0289,dep_bus,Student 289,active
stu_0290,dep_hum,Student 290,active
stu_0291,dep_bio,Student 291,active
stu_0292,dep_eng,Student 292,active
stu_0293,dep_bus,Student 293,active
stu_0294,dep_bio,Student 294,active
stu_0295,dep_eng,Student 295,active
stu_0296,dep_hum,Student 296,active
stu_0297,dep_hum,Student 297,active
stu_0298,dep_cs,Student 298,active
stu_0299,dep_eng,Student 299,active
stu_0300,dep_cs,Student 300,active
stu_0301,dep_cs,Student 301,active
stu_0302,dep_hum,Student 302,active
stu_0303,dep_hum,Student 303,active
stu_0304,dep_cs,Student 304,active
stu_0305,dep_eng,Student 305,active
stu_0306,dep_bus,Student 306,active
stu_0307,dep_bio,Student 307,active
stu_0308,dep_cs,Student 308,active
stu_0309,dep_bio,Student 309,active
stu_0310,dep_hum,Student 310,active
stu_0311,dep_cs,Student 311,active
stu_0312,dep_cs,Student 312,active
stu_0313,dep_eng,Student 313,active
stu_0314,dep_bio,Student 314,active
stu_0315,dep_bus,Student 315,active
stu_0316,dep_bio,Student 316,active
stu_0317,dep_eng,Student 317,active
stu_0318,dep_bus,Student 318,active
stu_0319,dep_cs,Student 319,active
stu_0320,dep_cs,Student 320,active
stu_0321,dep_eng,Student 321,active
stu_0322,dep_hum,Student 322,active
stu_0323,dep_cs,Student 323,active
stu_0324,dep_cs,Student 324,active
stu_0325,dep_bus,Student 325,active
stu_0326,dep_cs,Student 326,active
stu_0327,dep_cs,Student 327,active
stu_0328,dep_hum,Student 328,active
stu_0329,dep_cs,Student 329,active
stu_0330,dep_bus,Student 330,active
stu_0331,dep_bus,Student 331,active
stu_0332,dep_bio,Student 332,active
stu_0333,dep_eng,Student 333,active
stu_0334,dep_bio,Student 334,active
stu_0335,dep_eng,Student 335,active
stu_0336,dep_bus,Student 336,active
stu_0337,dep_eng,Student 337,active
stu_0338,dep_bus,Student 338,active
stu_0339,dep_bus,Student 339,active
stu_0340,dep_bio,Student 340,active
stu_0341,dep_hum,Student 341,active
stu_0342,dep_eng,Student 342,active
stu_0343,dep_eng,Student 343,active
stu_0344,dep_hum,Student 344,active
stu_0345,dep_cs,Student 345,active
stu_0346,dep_bus,Student 346,active
stu_0347,dep_cs,Student 347,active
stu_0348,dep_bio,Student 348,active
stu_0349,dep_hum,Student 349,active
stu_0350,dep_cs,Student 350,active
stu_0351,dep_bus,Student 351,active
stu_0352,dep_hum,Student 352,active
stu_0353,dep_eng,Student 353,active
stu_0354,dep_cs,Student 354,active
stu_0355,dep_hum,Student 355,active
stu_0356,dep_bus,Student 356,active
stu_0357,dep_bio,Student 357,active
stu_0358,dep_hum,Student 358,active
stu_0359,dep_bus,Student 359,active
stu_0360,dep_hum,Student 360,active
stu_0361,dep_bio,Student 361,active
stu_0362,dep_bus,Student 362,active
stu_0363,dep_bio,Student 363,active
stu_0364,dep_hum,Student 364,active
stu_0365,dep_bio,Student 365,active
stu_0366,dep_bio,Student 366,active
stu_0367,dep_hum,Student 367,active
stu_0368,dep_bio,Student 368,active
stu_0369,dep_bus,Student 369,active
stu_0370,dep_bus,Student 370,active
stu_0371,dep_bio,Student 371,active
stu_0372,dep_hum,Student 372,active
stu_0373,dep_hum,Student 373,active
stu_0374,dep_hum,Student 374,active
stu_0375,dep_bus,Student 375,active
stu_0376,dep_bio,Student 376,active
stu_0377,dep_eng,Student 377,active
stu_0378,dep_cs,Student 378,active
stu_0379,dep_cs,Student 379,active
stu_0380,dep_hum,Student 380,active
stu_0381,dep_eng,Student 381,active
stu_0382,dep_bus,Student 382,active
stu_0383,dep_hum,Student 383,active
stu_0384,dep_hum,Student 384,active
stu_0385,dep_cs,Student 385,active
stu_0386,dep_eng,Student 386,active
stu_0387,dep_cs,Student 387,active
stu_0388,dep_cs,Student 388,active
stu_0389,dep_hum,Student 389,active
stu_0390,dep_hum,Student 390,active
stu_0391,dep_bio,Student 391,active
stu_0392,dep_bio,Student 392,active
stu_0393,dep_cs,Student 393,active
stu_0394,dep_bio,Student 394,active
stu_0395,dep_cs,Student 395,active
stu_0396,dep_bus,Student 396,active
stu_0397,dep_cs,Student 397,active
stu_0398,dep_cs,Student 398,active
stu_0399,dep_cs,Student 399,active
stu_0400,dep_cs,Student 400,active
stu_0401,dep_bio,Student 401,active
stu_0402,dep_eng,Student 402,active
stu_0403,dep_bio,Student 403,active
stu_0404,dep_eng,Student 404,active
stu_0405,dep_bus,Student 405,active
stu_0406,dep_bus,Student 406,active
stu_0407,dep_bus,Student 407,active
stu_0408,dep_bio,Student 408,active
stu_0409,dep_hum,Student 409,active
stu_0410,dep_bus,Student 410,active
stu_0411,dep_cs,Student 411,active
stu_0412,dep_bus,Student 412,active
stu_0413,dep_bus,Student 413,active
stu_0414,dep_bus,Student 414,active
stu_0415,dep_cs,Student 415,active
stu_0416,dep_eng,Student 416,active
stu_0417,dep_eng,Student 417,active
stu_0418,dep_bio,Student 418,active
stu_0419,dep_bio,Student 419,active
stu_0420,dep_eng,Student 420,active
stu_0421,dep_bio,Student 421,active
stu_0422,dep_bio,Student 422,active
stu_0423,dep_bio,Student 423,active
stu_0424,dep_hum,Student 424,active
stu_0425,dep_eng,Student 425,active
stu_0426,dep_cs,Student 426,active
stu_0427,dep_hum,Student 427,active
stu_0428,dep_cs,Student 428,active
stu_0429,dep_bio,Student 429,active
stu_0430,dep_bus,Student 430,active
stu_0431,dep_hum,Student 431,active
stu_0432,dep_hum,Student 432,active
stu_0433,dep_eng,Student 433,active
stu_0434,dep_eng,Student 434,active
stu_0435,dep_cs,Student 435,active
stu_0436,dep_bio,Student 436,active
stu_0437,dep_cs,Student 437,active
stu_0438,dep_hum,Student 438,active
stu_0439,dep_eng,Student 439,active
stu_0440,dep_eng,Student 440,active
stu_0441,dep_bus,Student 441,active
stu_0442,dep_bio,Student 442,active
stu_0443,dep_eng,Student 443,active
stu_0444,dep_bus,Student 444,active
stu_0445,dep_eng,Student 445,active
stu_0446,dep_hum,Student 446,active
stu_0447,dep_hum,Student 447,active
stu_0448,dep_eng,Student 448,active
stu_0449,dep_hum,Student 449,active
stu_0450,dep_cs,Student 450,active
stu_0451,dep_eng,Student 451,active
stu_0452,dep_bio,Student 452,active
stu_0453,dep_cs,Student 453,active
stu_0454,dep_eng,Student 454,active
stu_0455,dep_eng,Student 455,active
stu_0456,dep_hum,Student 456,active
stu_0457,dep_hum,Student 457,active
stu_0458,dep_eng,Student 458,active
stu_0459,dep_hum,Student 459,active
stu_0460,dep_bio,Student 460,active
stu_0461,dep_hum,Student 461,active
stu_0462,dep_bus,Student 462,active
stu_0463,dep_bus,Student 463,active
stu_0464,dep_bus,Student 464,active
stu_0465,dep_eng,Student 465,active
stu_0466,dep_cs,Student 466,active
stu_0467,dep_cs,Student 467,active
stu_0468,dep_eng,Student 468,active
stu_0469,dep_bio,Student 469,active
stu_0470,dep_hum,Student 470,active
stu_0471,dep_bio,Student 471,active
stu_0472,dep_bus,Student 472,active
stu_0473,dep_bio,Student 473,active
stu_0474,dep_bio,Student 474,withdrawn
stu_0475,dep_bus,Student 475,active
stu_0476,dep_hum,Student 476,active
stu_0477,dep_eng,Student 477,active
stu_0478,dep_cs,Student 478,active
stu_0479,dep_hum,Student 479,active
stu_0480,dep_cs,Student 480,active
stu_0481,dep_bio,Student 481,active
stu_0482,dep_cs,Student 482,active
stu_0483,dep_hum,Student 483,active
stu_0484,dep_bus,Student 484,active
stu_0485,dep_bio,Student 485,active
stu_0486,dep_hum,Student 486,active
stu_0487,dep_bus,Student 487,active
stu_0488,dep_hum,Student 488,active
stu_0489,dep_eng,Student 489,active
stu_0490,dep_bio,Student 490,active
stu_0491,dep_eng,Student 491,active
stu_0492,dep_bus,Student 492,active
stu_0493,dep_bio,Student 493,active
stu_0494,dep_cs,Student 494,active
stu_0495,dep_eng,Student 495,active
stu_0496,dep_bio,Student 496,active
stu_0497,dep_bio,Student 497,active
stu_0498,dep_eng,Student 498,active
stu_0499,dep_eng,Student 499,active
stu_0500,dep_bus,Student 500,active
stu_0501,dep_bio,Student 501,active
stu_0502,dep_cs,Student 502,active
stu_0503,dep_bus,Student 503,active
stu_0504,dep_bio,Student 504,active
stu_0505,dep_bio,Student 505,active
stu_0506,dep_eng,Student 506,active
stu_0507,dep_hum,Student 507,active
stu_0508,dep_cs,Student 508,active
stu_0509,dep_cs,Student 509,active
stu_0510,dep_cs,Student 510,active
stu_0511,dep_bus,Student 511,active
stu_0512,dep_cs,Student 512,active
stu_0513,dep_cs,Student 513,active
stu_0514,dep_cs,Student 514,active
stu_0515,dep_hum,Student 515,active
stu_0516,dep_cs,Student 516,active
stu_0517,dep_cs,Student 517,active
stu_0518,dep_eng,Student 518,active
stu_0519,dep_hum,Student 519,active
stu_0520,dep_hum,Student 520,active
stu_0521,dep_bus,Student 521,active
stu_0522,dep_bio,Student 522,active
stu_0523,dep_bus,Student 523,active
stu_0524,dep_cs,Student 524,active
stu_0525,dep_bus,Student 525,active
stu_0526,dep_bus,Student 526,active
stu_0527,dep_cs,Student 527,active
stu_0528,dep_eng,Student 528,active
stu_0529,dep_cs,Student 529,active
stu_0530,dep_hum,Student 530,active
stu_0531,dep_hum,Student 531,active
stu_0532,dep_bus,Student 532,active
stu_0533,dep_bio,Student 533,active
stu_0534,dep_hum,Student 534,active
stu_0535,dep_cs,Student 535,active
stu_0536,dep_eng,Student 536,active
stu_0537,dep_hum,Student 537,active
stu_0538,dep_bio,Student 538,active
stu_0539,dep_hum,Student 539,active
stu_0540,dep_hum,Student 540,active
stu_0541,dep_bus,Student 541,active
stu_0542,dep_cs,Student 542,active
stu_0543,dep_cs,Student 543,active
stu_0544,dep_eng,Student 544,active
stu_0545,dep_eng,Student 545,active
stu_0546,dep_cs,Student 546,active
stu_0547,dep_bus,Student 547,active
stu_0548,dep_bio,Student 548,active
stu_0549,dep_bus,Student 549,active
stu_0550,dep_eng,Student 550,active
stu_0551,dep_bio,Student 551,active
stu_0552,dep_hum,Student 552,active
stu_0553,dep_bus,Student 553,active
stu_0554,dep_eng,Student 554,active
stu_0555,dep_cs,Student 555,active
stu_0556,dep_bus,Student 556,active
stu_0557,dep_hum,Student 557,active
stu_0558,dep_bio,Student 558,active
stu_0559,dep_hum,Student 559,active
stu_0560,dep_bio,Student 560,active
stu_0561,dep_hum,Student 561,active
stu_0562,dep_bio,Student 562,active
stu_0563,dep_bus,Student 563,active
stu_0564,dep_bio,Student 564,active
stu_0565,dep_bus,Student 565,active
stu_0566,dep_hum,Student 566,active
stu_0567,dep_cs,Student 567,active
stu_0568,dep_eng,Student 568,active
stu_0569,dep_eng,Student 569,active
stu_0570,dep_cs,Student 570,active
stu_0571,dep_eng,Student 571,active
stu_0572,dep_eng,Student 572,active
stu_0573,dep_hum,Student 573,active
stu_0574,dep_cs,Student 574,active
stu_0575,dep_hum,Student 575,active
stu_0576,dep_bus,Student 576,active
stu_0577,dep_bus,Student 577,active
stu_0578,dep_cs,Student 578,active
stu_0579,dep_cs,Student 579,active
stu_0580,dep_eng,Student 580,active
stu_0581,dep_cs,Student 581,active
stu_0582,dep_bio,Student 582,active
stu_0583,dep_hum,Student 583,active
stu_0584,dep_bio,Student 584,active
stu_0585,dep_bus,Student 585,active
stu_0586,dep_eng,Student 586,active
stu_0587,dep_bio,Student 587,active
stu_0588,dep_bio,Student 588,active
stu_0589,dep_eng,Student 589,active
stu_0590,dep_bio,Student 590,active
stu_0591,dep_bio,Student 591,active
stu_0592,dep_hum,Student 592,active
stu_0593,dep_bio,Student 593,active
stu_0594,dep_cs,Student 594,active
stu_0595,dep_hum,Student 595,active
stu_0596,dep_hum,Student 596,active
stu_0597,dep_hum,Student 597,active
stu_0598,dep_bio,Student 598,active
stu_0599,dep_bio,Student 599,active
stu_0600,dep_bio,Student 600,active
stu_0601,dep_eng,Student 601,active
stu_0602,dep_eng,Student 602,active
stu_0603,dep_bus,Student 603,active
stu_0604,dep_bus,Student 604,active
stu_0605,dep_bio,Student 605,active
stu_0606,dep_eng,Student 606,active
stu_0607,dep_eng,Student 607,active
stu_0608,dep_cs,Student 608,active
stu_0609,dep_hum,Student 609,active
stu_0610,dep_cs,Student 610,active
stu_0611,dep_bus,Student 611,active
stu_0612,dep_hum,Student 612,active
stu_0613,dep_cs,Student 613,active
stu_0614,dep_eng,Student 614,active
stu_0615,dep_hum,Student 615,active
stu_0616,dep_bio,Student 616,active
stu_0617,dep_bio,Student 617,active
stu_0618,dep_bus,Student 618,active
stu_0619,dep_bus,Student 619,active
stu_0620,dep_hum,Student 620,active
stu_0621,dep_hum,Student 621,active
stu_0622,dep_hum,Student 622,active
stu_0623,dep_eng,Student 623,active
stu_0624,dep_cs,Student 624,active
stu_0625,dep_bus,Student 625,active
stu_0626,dep_bus,Student 626,active
stu_0627,dep_hum,Student 627,active
stu_0628,dep_hum,Student 628,active
stu_0629,dep_bus,Student 629,active
stu_0630,dep_hum,Student 630,active
stu_0631,dep_cs,Student 631,active
stu_0632,dep_hum,Student 632,active
stu_0633,dep_cs,Student 633,active
stu_0634,dep_hum,Student 634,active
stu_0635,dep_cs,Student 635,active
stu_0636,dep_bus,Student 636,active
stu_0637,dep_bus,Student 637,active
stu_0638,dep_eng,Student 638,active
stu_0639,dep_hum,Student 639,active
stu_0640,dep_eng,Student 640,active
stu_0641,dep_hum,Student 641,active
stu_0642,dep_bus,Student 642,active
stu_0643,dep_bus,Student 643,active
stu_0644,dep_bio,Student 644,active
stu_0645,dep_bus,Student 645,active
stu_0646,dep_bus,Student 646,active
stu_0647,dep_eng,Student 647,active
stu_0648,dep_eng,Student 648,active
stu_0649,dep_bio,Student 649,active
stu_0650,dep_hum,Student 650,active
stu_0651,dep_bio,Student 651,active
stu_0652,dep_cs,Student 652,active
stu_0653,dep_bio,Student 653,active
stu_0654,dep_eng,Student 654,active
stu_0655,dep_hum,Student 655,active
stu_0656,dep_cs,Student 656,active
stu_0657,dep_bus,Student 657,active
stu_0658,dep_hum,Student 658,active
stu_0659,dep_bio,Student 659,active
stu_0660,dep_cs,Student 660,active
stu_0661,dep_eng,Student 661,active
stu_0662,dep_eng,Student 662,active
stu_0663,dep_cs,Student 663,active
stu_0664,dep_bio,Student 664,active
stu_0665,dep_eng,Student 665,active
stu_0666,dep_cs,Student 666,active
stu_0667,dep_bus,Student 667,active
stu_0668,dep_eng,Student 668,active
stu_0669,dep_bio,Student 669,active
stu_0670,dep_eng,Student 670,active
stu_0671,dep_eng,Student 671,active
stu_0672,dep_bio,Student 672,active
stu_0673,dep_eng,Student 673,active
stu_0674,dep_cs,Student 674,active
stu_0675,dep_eng,Student 675,active
stu_0676,dep_eng,Student 676,active
stu_0677,dep_cs,Student 677,active
stu_0678,dep_hum,Student 678,active
stu_0679,dep_bus,Student 679,active
stu_0680,dep_bio,Student 680,active
stu_0681,dep_bus,Student 681,active
stu_0682,dep_bio,Student 682,active
stu_0683,dep_eng,Student 683,active
stu_0684,dep_cs,Student 684,active
stu_0685,dep_cs,Student 685,active
stu_0686,dep_cs,Student 686,active
stu_0687,dep_hum,Student 687,active
stu_0688,dep_bio,Student 688,active
stu_0689,dep_cs,Student 689,active
stu_0690,dep_eng,Student 690,active
stu_0691,dep_bus,Student 691,active
stu_0692,dep_hum,Student 692,active
stu_0693,dep_cs,Student 693,active
stu_0694,dep_cs,Student 694,active
stu_0695,dep_hum,Student 695,active
stu_0696,dep_bus,Student 696,active
stu_0697,dep_bus,Student 697,active
stu_0698,dep_cs,Student 698,active
stu_0699,dep_cs,Student 699,active
stu_0700,dep_bio,Student 700,active
stu_0701,dep_cs,Student 701,active
stu_0702,dep_bus,Student 702,active
stu_0703,dep_cs,Student 703,active
stu_0704,dep_hum,Student 704,active
stu_0705,dep_eng,Student 705,active
stu_0706,dep_eng,Student 706,active
stu_0707,dep_bus,Student 707,active
stu_0708,dep_bus,Student 708,active
stu_0709,dep_cs,Student 709,active
stu_0710,dep_bio,Student 710,active
stu_0711,dep_cs,Student 711,active
stu_0712,dep_hum,Student 712,active
stu_0713,dep_cs,Student 713,active
stu_0714,dep_eng,Student 714,active
stu_0715,dep_cs,Student 715,active
stu_0716,dep_hum,Student 716,active
stu_0717,dep_eng,Student 717,active
stu_0718,dep_bio,Student 718,active
stu_0719,dep_cs,Student 719,active
stu_0720,dep_bus,Student 720,active
stu_0721,dep_bio,Student 721,active
stu_0722,dep_bio,Student 722,active
stu_0723,dep_cs,Student 723,active
stu_0724,dep_eng,Student 724,active
stu_0725,dep_eng,Student 725,active
stu_0726,dep_hum,Student 726,active
stu_0727,dep_cs,Student 727,active
stu_0728,dep_hum,Student 728,active
stu_0729,dep_cs,Student 729,active
stu_0730,dep_bio,Student 730,active
stu_0731,dep_cs,Student 731,active
stu_0732,dep_eng,Student 732,active
stu_0733,dep_cs,Student 733,active
stu_0734,dep_cs,Student 734,active
stu_0735,dep_bus,Student 735,active
